[2026-04-01T02:41:42.492Z] GET https://developers.openai.com/js/copy.js → 200 (278ms, 3823B)
[2026-04-01T02:41:42.492Z] GET https://developers.openai.com/_astro/DocsStatic.D3ZOwsEN.css → 200 (139ms, 63687B)
[2026-04-01T02:41:42.492Z] GET https://developers.openai.com/_astro/index.CJJaj6dv.css → 200 (118ms, 226127B)
[2026-04-01T02:41:42.492Z] GET https://developers.openai.com/_astro/DocsStatic.D_0mfV_c.css → 200 (139ms, 17159B)
[2026-04-01T02:41:42.492Z] GET https://developers.openai.com/_astro/_slug_.DxGC2Xm7.css → 200 (146ms, 6883B)
[2026-04-01T02:41:42.492Z] GET https://developers.openai.com/_astro/Input_module.CVLIjBsO.css → 200 (123ms, 7801B)
[2026-04-01T02:41:42.493Z] GET https://developers.openai.com/_astro/Select_module.BbK6_0fC.css → 200 (121ms, 5688B)
[2026-04-01T02:41:42.493Z] GET https://developers.openai.com/_astro/Button_module.DQKpqWWq.css → 200 (159ms, 26309B)
[2026-04-01T02:41:42.493Z] GET https://developers.openai.com/_astro/SelectControl_module.Cr3im3G9.css → 200 (113ms, 15816B)
[2026-04-01T02:41:42.493Z] GET https://developers.openai.com/_astro/page.B7cGKP-K.js → 200 (114ms, 2278B)
[2026-04-01T02:41:42.493Z] GET https://developers.openai.com/OpenAI_Developers.svg → 200 (139ms, 11728B)
[2026-04-01T02:41:42.647Z] GET https://developers.openai.com/_astro/client.B9YBqyHK.js → 200 (124ms, 27B)
[2026-04-01T02:41:42.673Z] GET https://cdn.openai.com/common/fonts/openai-sans/v2/OpenAISans-Regular.woff2 → 200 (254ms, ?B)
[2026-04-01T02:41:42.673Z] GET https://cdn.openai.com/common/fonts/openai-sans/v2/OpenAISans-Medium.woff2 → 200 (249ms, ?B)
[2026-04-01T02:41:42.679Z] GET https://developers.openai.com/_astro/Expander.react.BMXmy6xr.js → 200 (95ms, 997B)
[2026-04-01T02:41:42.679Z] GET https://developers.openai.com/_astro/client.oTle_bpR.js → 200 (98ms, 182736B)
[2026-04-01T02:41:42.679Z] GET https://developers.openai.com/_astro/index.react.BO_iZOXs.js → 200 (96ms, 1267B)
[2026-04-01T02:41:42.679Z] GET https://developers.openai.com/_astro/Analytics.WkqLF1aY.js → 200 (102ms, 140B)
[2026-04-01T02:41:42.680Z] GET https://developers.openai.com/_astro/client.Btr3teR5.js → 200 (94ms, 5645B)
[2026-04-01T02:41:42.695Z] GET https://cdn.openai.com/common/fonts/openai-sans/v2/OpenAISans-Semibold.woff2 → 200 (214ms, ?B)
[2026-04-01T02:41:42.773Z] GET https://developers.openai.com/_vercel/speed-insights/script.js → 200 (33ms, 12567B)
[2026-04-01T02:41:42.773Z] GET https://developers.openai.com/_astro/AlgoliaSearch.DT12e7SL.js → 200 (45ms, 25965B)
[2026-04-01T02:41:42.773Z] GET https://developers.openai.com/_astro/TableOfContents.Cvzj2p1P.js → 200 (37ms, 3581B)
[2026-04-01T02:41:42.773Z] GET https://developers.openai.com/_astro/PageActions.CNEqCLeM.js → 200 (94ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/solid.BBxy7wP1.js → 200 (58ms, 9559B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/web.Bx7RYub3.js → 200 (42ms, 9167B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/jsx-runtime.D_zvdyIk.js → 200 (63ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/index.CkLFK4iY.js → 200 (79ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/clsx.B-dksMZM.js → 200 (65ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/ChevronRight.DQjEpLv2.js → 200 (35ms, 346B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/ChevronUp.B3wC7Hsg.js → 200 (65ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/CodeSample.react.BVItYUuO.js → 200 (66ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/light.FFgmsGMc.js → 200 (45ms, 63531B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/navigation.react.CRDlrcdx.js → 200 (47ms, 867B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/local-storage.react.BjTSZ15M.js → 200 (66ms, ?B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/analytics.react.CzoF-dFn.js → 200 (42ms, 293B)
[2026-04-01T02:41:42.775Z] GET https://developers.openai.com/_astro/theme.react.N_Syy88u.js → 200 (92ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/index.Bpl28ImD.js → 200 (65ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/index.DPsXEcnh.js → 200 (35ms, 126B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/index.Cdm1hFOx.js → 200 (64ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Tooltip.B07_xgih.js → 200 (64ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/index.s2011tuY.js → 200 (46ms, 4413B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Tooltip_module.27c5dae5.DGt3qC0D.js → 200 (61ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/CopyButton.Cg7Eq_rr.js → 200 (45ms, 1845B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Check.j5zoCyTM.js → 200 (61ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Animate.BHRYq1rv.js → 200 (40ms, 5017B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Button.BPTtDE2y.js → 200 (64ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/LoadingIndicator_module.401f3a04.DFezfhvs.js → 200 (61ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/index.Bf2qc8Rt.js → 200 (63ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/TransitionGroup_module.7d932e42.BrueaoB8.js → 200 (64ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Button_module.1342c311.CD0k7XoG.js → 200 (63ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Animate_module.dcc9badb.BeVBpRtu.js → 200 (75ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Select.LqVEKv9a.js → 200 (45ms, 23037B)
